ITEM_ID,USER_ID,TIMESTAMP,CABIN_TYPE,EVENT_VALUE,EVENT_TYPE
adria-airways,DIto,1428649200,Economy,7,RATING
adria-airways,RonKuhlmann,1420444800,Business Class,10,RATING
adria-airways,EAlbin,1410678000,Economy,9,RATING
adria-airways,TerconBojan,1409986800,Business Class,8,RATING
adria-airways,LJames,1402902000,Economy,4,RATING
adria-airways,DzanoEdin,1402210800,Economy,9,RATING
adria-airways,MTushishvili,1401606000,Economy,5,RATING
adria-airways,MZnidar,1399705200,Economy,9,RATING
adria-airways,TerconBojan,1389600000,Business Class,8,RATING
adria-airways,MZnidar,1388995200,Economy,10,RATING
adria-airways,AytekCingitas,1382425200,Economy,9,RATING
adria-airways,HashimAzlan,1377673200,Economy,7,RATING
adria-airways,LStefan,1376895600,Economy,8,RATING
adria-airways,TerconBojan,1376895600,Business Class,7,RATING
adria-airways,MichaelAsher,1370847600,Business Class,7,RATING
adria-airways,MTushishvili,1369638000,Economy,5,RATING
adria-airways,GeorgiosVrontos,1349679600,Economy,9,RATING
adria-airways,RMahr,1341385200,Economy,5,RATING
adria-airways,AVlasov,1339916400,Economy,5,RATING
adria-airways,RokUrbancic,1339484400,Economy,8,RATING
adria-airways,APlesnicar,1329379200,Economy,9,RATING
adria-airways,SGregorn,1326787200,Economy,5,RATING
adria-airways,JMajor,1316502000,Economy,9,RATING
adria-airways,PBrowne,1315897200,Business Class,9,RATING
adria-airways,PWilson,1315897200,Business Class,10,RATING
adria-airways,AndrewPowell,1295424000,Economy,7,RATING
adria-airways,JHarvey,1294387200,Economy,5,RATING
adria-airways,AxelBosch,1286694000,Economy,5,RATING
adria-airways,YevheniyKahanovych,1259136000,Economy,6,RATING
adria-airways,AlexanderStare,1243407600,Economy,7,RATING
adria-airways,AIvanovski,1243321200,Economy,5,RATING
aegean-airlines,PVlogianitis,1438412400,Business Class,10,RATING
aegean-airlines,EricBotha,1438066800,Business Class,8,RATING
aegean-airlines,NathanVermeulen,1437894000,Economy,9,RATING
aegean-airlines,NSunder,1437462000,Economy,8,RATING
aegean-airlines,DimitriosChrysos-Gklavas,1437462000,Economy,8,RATING
aegean-airlines,KimBuhrman,1436684400,Economy,10,RATING
aegean-airlines,CDeCarolis,1436684400,Economy,10,RATING
aegean-airlines,LudovicFarine,1436252400,Business Class,10,RATING
aegean-airlines,TeresaMcCann,1436252400,Economy,9,RATING
aegean-airlines,DionysisKefallinos,1434783600,Economy,8,RATING
aegean-airlines,ConstantinodelConte,1434697200,Economy,8,RATING
aegean-airlines,BrendaXinck,1434524400,Economy,10,RATING
aegean-airlines,MartinHahn,1434438000,Economy,9,RATING
aegean-airlines,HMung,1434092400,Economy,9,RATING
aegean-airlines,JAdams,1433401200,Economy,10,RATING
aegean-airlines,SeanKyte,1433401200,Economy,8,RATING
aegean-airlines,IliasVounelakis,1433055600,Economy,10,RATING
aegean-airlines,HMung,1433055600,Economy,9,RATING
aegean-airlines,IMagouras,1433055600,Business Class,10,RATING
aegean-airlines,DKotremagias,1432710000,Economy,7,RATING
aegean-airlines,MMcManus,1432710000,Economy,8,RATING
aegean-airlines,DLee,1432105200,Economy,10,RATING
aegean-airlines,WCoenik,1431759600,Economy,9,RATING
aegean-airlines,CKourlampas,1428994800,Economy,8,RATING
aegean-airlines,AMilossavlyevich,1428994800,Economy,2,RATING
aegean-airlines,GCarsten,1428044400,Economy,7,RATING
aegean-airlines,APhillipou,1427526000,Economy,9,RATING
aer-lingus,KeithTynan,1438066800,Economy,3,RATING
aegean-airlines,SonntagJosef,1427094000,Economy,7,RATING
aegean-airlines,IMagouras,1426575600,Economy,9,RATING
aegean-airlines,MKapsalis,1425456000,Business Class,3,RATING
aer-lingus,ChristinaKelly,1437980400,Economy,5,RATING
aer-lingus,JFox,1437980400,Economy,9,RATING
aer-lingus,PatriciaWebb,1437894000,Economy,10,RATING
aegean-airlines,MichalisKapsalis,1425456000,Business Class,3,RATING
aegean-airlines,RussellNg,1425456000,Economy,8,RATING
aegean-airlines,ThemistocleousThemis,1424764800,Economy,10,RATING
aegean-airlines,JBransby,1424764800,Economy,8,RATING
aer-lingus,JohnLince,1437894000,Economy,8,RATING
aer-lingus,SammiLammy,1437807600,Economy,9,RATING
aer-lingus,JoseCarvalho,1437548400,Economy,2,RATING
aegean-airlines,DIto,1424246400,Business Class,9,RATING
aegean-airlines,NMicallef,1422604800,Economy,7,RATING
aer-lingus,WSwingler,1437462000,Economy,1,RATING
aer-lingus,AllisonGaretto,1437375600,Economy,1,RATING
aegean-airlines,RickYah,1419840000,Economy,7,RATING
aegean-airlines,GSpiros,1419840000,Economy,7,RATING
aegean-airlines,DanTong,1416902400,Economy,10,RATING
aer-lingus,JasonBarsal,1437030000,Economy,8,RATING
aer-lingus,GaryColburn,1437030000,Economy,7,RATING
aer-lingus,SWhyte,1436770800,Business Class,10,RATING
aegean-airlines,DPomeroy,1416902400,Business Class,9,RATING
aegean-airlines,GeorgoulopoulosApostolos,1416902400,Business Class,9,RATING
aegean-airlines,PocockPhilip,1416470400,Economy,10,RATING
aer-lingus,LPulliam,1436166000,Economy,7,RATING
aer-lingus,AWalsh,1434697200,Economy,10,RATING
aer-lingus,JGabris,1434092400,Economy,9,RATING
aegean-airlines,CBartzelis,1415260800,Economy,2,RATING
aegean-airlines,AnastasiaGkika,1415174400,Economy,1,RATING
aegean-airlines,CTampasis,1414479600,Economy,2,RATING
aegean-airlines,NDorizas,1413961200,Economy,10,RATING
aer-lingus,BruceLaroche,1432105200,Economy,2,RATING
aer-lingus,NicolaHarvey,1431759600,Economy,7,RATING
aegean-airlines,DAggelopoulos,1413097200,Economy,9,RATING
aegean-airlines,MichaelShoesmith,1413097200,Economy,9,RATING
aegean-airlines,NTsagkalidis,1410678000,Business Class,3,RATING
aerocaribbean,PhilipJensen,1293782400,Economy,8,RATING
aer-lingus,LGran,1431500400,Economy,1,RATING
aer-lingus,RWilliams,1431241200,Business Class,7,RATING
aer-lingus,MJudge,1430463600,Economy,10,RATING
aegean-airlines,JBacallado,1410246000,Economy,8,RATING
aegean-airlines,TXavier,1410246000,Economy,9,RATING
aegean-airlines,GeorgeTziviskos,1410246000,Economy,10,RATING
aer-lingus,JohnPConnolly,1430377200,Business Class,10,RATING
